  1    1.03803e-01    1.43537e-01
  2    4.75938e-02    3.57793e-02
  3    2.64397e-02    1.66985e-02
  4    4.51204e-02    5.67872e-03
  5    2.23958e-02    3.12652e-03
  6    6.39528e-03    9.19023e-04
  7    4.41129e-03    2.51321e-04
  8    2.43361e-03    4.61014e-05
  9    1.37773e-03    1.87730e-05
 10    3.34029e-04    1.19368e-05
 11    1.06475e-04    6.21850e-06
 12    4.47012e-05    2.36209e-06
 13    7.77398e-06    1.42747e-06
 14    2.53513e-06    7.70001e-07
 15    1.62757e-06
 16    7.51020e-07
